timestamp,tps,rtps,wtps,bread/s,bwrtn/s
2018-06-18 10:14:01 UTC,15.76,6.84,8.92,116.26,82.57
2018-06-18 10:15:01 UTC,30.05,23.14,6.91,1083.95,58.68
2018-06-18 10:16:01 UTC,28.45,24.76,3.68,1197.12,36.4
2018-06-18 10:17:01 UTC,11.4,8.1,3.3,183.8,27.36
2018-06-18 10:18:01 UTC,5.02,2.17,2.85,67.87,30.22
2018-06-18 10:19:01 UTC,9.43,5.26,4.17,104.52,44.04
2018-06-18 10:20:01 UTC,19.3,14.76,4.54,464.07,37.25
2018-06-18 10:21:01 UTC,4.93,1.23,3.7,61.64,33.74
2018-06-18 10:22:01 UTC,6.1,2.9,3.2,100.6,32.65
2018-06-18 10:23:01 UTC,2.72,0.08,2.63,4.53,21.47
2018-06-18 10:24:01 UTC,3.02,0.03,2.99,0.93,24.58
2018-06-18 10:25:01 UTC,14.82,7.1,7.72,168.93,60.8
2018-06-18 10:26:01 UTC,6.55,2.83,3.72,130.24,31.73
2018-06-18 10:27:01 UTC,3.17,0.0,3.17,0.0,26.95
2018-06-18 10:28:01 UTC,2.97,0.1,2.87,0.8,23.33
2018-06-18 10:29:01 UTC,3.12,0.0,3.12,0.0,25.6
2018-06-18 10:30:01 UTC,6.68,2.12,4.57,59.06,37.99
